Location,Month,Rainfall
Adelaide,1,52.8
Adelaide,2,18.4
Adelaide,3,53.8
Adelaide,4,9.6
Adelaide,5,88
Adelaide,6,95.2
Adelaide,7,112
Adelaide,8,58.8
Adelaide,9,131.2
Adelaide,10,81
Adelaide,11,33.2
Adelaide,12,86.8
Brisbane,1,51.4
Brisbane,2,13.8
Brisbane,3,117.4
Brisbane,4,12.8
Brisbane,5,27.6
Brisbane,6,264.8
Brisbane,7,28.2
Brisbane,8,31.6
Brisbane,9,51.8
Brisbane,10,30.2
Brisbane,11,28
Brisbane,12,102
Darwin,1,169.8
Darwin,2,150.4
Darwin,3,115.8
Darwin,4,46.4
Darwin,5,62.4
Darwin,6,0
Darwin,7,0
Darwin,8,0
Darwin,9,64.4
Darwin,10,130.8
Darwin,11,208.2
Darwin,12,406.8
Hobart,1,40.2
Hobart,2,21.8
Hobart,3,17
Hobart,4,8.8
Hobart,5,96
Hobart,6,115.4
Hobart,7,79.2
Hobart,8,15.8
Hobart,9,94.2
Hobart,10,83.4
Hobart,11,65.2
Hobart,12,56.6
Melbourne,1,0
Melbourne,2,0
Melbourne,3,0
Melbourne,4,0
Melbourne,5,57
Melbourne,6,54.4
Melbourne,7,64.2
Melbourne,8,61.2
Melbourne,9,87.2
Melbourne,10,63.4
Melbourne,11,31.4
Melbourne,12,39.6
Perth,1,15.2
Perth,2,0.6
Perth,3,16.8
Perth,4,68.2
Perth,5,112
Perth,6,109.4
Perth,7,139.6
Perth,8,123.2
Perth,9,68.8
Perth,10,37.4
Perth,11,14.4
Perth,12,10.2
Sydney,1,249.8
Sydney,2,25.8
Sydney,3,193.2
Sydney,4,155
Sydney,5,7.2
Sydney,6,305
Sydney,7,104.6
Sydney,8,151.4
Sydney,9,70
Sydney,10,31.4
Sydney,11,27.2
Sydney,12,65
